"filename", "language", "Dart", "YAML", "JSON", "Swift", "Markdown", "XML", "C++", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\hp\Desktop\Flutter\gidah\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\hp\Desktop\Flutter\gidah\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\hp\Desktop\Flutter\gidah\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 5, 12, 69
"c:\Users\hp\Desktop\Flutter\gidah\android\app\google-services.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\hp\Desktop\Flutter\gidah\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Users\hp\Desktop\Flutter\gidah\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\hp\Desktop\Flutter\gidah\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\hp\Desktop\Flutter\gidah\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\hp\Desktop\Flutter\gidah\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\hp\Desktop\Flutter\gidah\asset\images\flutter.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hp\Desktop\Flutter\gidah\asset\images\logo.svg", "XML", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 1, 1, 78
"c:\Users\hp\Desktop\Flutter\gidah\asset\images\mail.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hp\Desktop\Flutter\gidah\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\hp\Desktop\Flutter\gidah\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\hp\Desktop\Flutter\gidah\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\hp\Desktop\Flutter\gidah\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
